Catalog,DataAsset,ColumnHeader,BusinessTerm,Category,Done
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,YM,년월,02-기준정보 >> 기간,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,USE_AMT,당월사용금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,UPDATE_DATE,갱신일시,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,CREATE_DATE,생성일시,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,END_LIMIT_AMT,기말한도금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST_AMT,한도유예금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_RATE,한도율,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_AMT,당월한도금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,BGN_LIMIT_AMT,기초한도금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,UPDATE_BY,갱신자ID,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,BUY_AMT,매입금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,AGENCY_CODE,대리점코드,영업 >> 방판 영업 >> 대리점,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,CREATE_BY,생성자ID,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_TYPE,한도유형,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,SALORGCD,판매조직코드,영업 >> 영업조직,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,SYS_UPD_USER,시스템갱신자ID,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,SYS_UPD_DATE,시스템갱신일시,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,SYS_INS_USER,시스템입력자ID,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,CUST_RATE,변동재원율,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST3,한도조정3금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST2,한도조정2금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,SYS_INS_DATE,시스템입력일시,01-시스템,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,CUST_TRANS_AMT,고객구매전환금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,CUST_LIMIT_AMT,변동재원금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,BUY_LIMIT_AMT,고정재원금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,CUST_AMT,고객구매금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST1,한도조정1금액,영업 >> 방판 영업 >> 1. 주문/재고,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,CREATE_DATE,생성일시,01-시스템,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,UPDATE_DATE,갱신일시,01-시스템,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,YM,년월,02-기준정보 >> 기간,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,AGENCY_CODE,대리점코드,영업 >> 방판 영업 >> 대리점,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,CONSULT_CODE,카운셀러코드,영업 >> 방판 영업 >> 카운셀러,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,SALORGCD,판매조직코드,영업 >> 영업조직,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,ATTEND_CNT,출근횟수,영업 >> 방판 영업 >> 3. 교육/인사,N
테스트_카탈로그_데모,[TNC61] 카운셀러 월 출근계획,SYS_INS_DATE,시스템입력일시,01-시스템,N
